Año|Mes|CCAA|Producto|Volumen (miles de kg)|Valor (miles de €)|Precio medio kg|Penetración (%)|Consumo per capita|Gasto per capita||
2018|Enero|Aragon|LECHUGA/ESC./ENDIVIA|530,03|1492,61|2,82|63,68|0,4|1,14||
2018|Enero|Aragon|ESPARRAGOS|50,02|208,75|4,17|11,71|0,04|0,16||
2018|Enero|Aragon|VERDURAS DE HOJA|348,55|597,62|1,71|32,98|0,27|0,46||
2018|Enero|Aragon|BERENJENAS|85,81|155,21|1,81|21,06|0,07|0,12||
2018|Enero|Aragon|ZANAHORIAS|381,09|310,82|0,82|57,95|0,29|0,24||
2018|Enero|Aragon|CALABACINES|461,16|670,5|1,45|51,23|0,35|0,51||
2018|Enero|Aragon|OTR.HORTALIZAS/VERD.|1731,33|3116,06|1,8|81,51|1,32|2,37||
2018|Enero|Aragon|BROCOLI|346,39|386,78|1,12|36,87|0,26|0,29||
2018|Enero|Aragon|ALCACHOFAS|140,93|252,21|1,79|18,23|0,11|0,19||
2018|Enero|Aragon|VERD./HORT. IV GAMA|532,01|1563,43|2,94|63,62|0,41|1,19||
2018|Enero|Asturias|TOTAL PATATAS|2574,16|1997,07|0,78|76,07|2,37|1,84||
2018|Enero|Asturias|PATATAS FRESCAS|1949,01|1352,99|0,69|62,43|1,8|1,25||
2018|Enero|Asturias|PATATAS CONGELADAS|81,38|88,14|1,08|8,07|0,08|0,08||
2018|Enero|Asturias|PATATAS PROCESADAS|108,75|555,95|5,11|41,74|0,1|0,51||
2018|Enero|Asturias|T.HORTALIZAS FRESCAS|3584,77|7172,12|2|97,28|3,31|6,62||
2018|Enero|Asturias|TOMATES|722,51|1309,88|1,81|72,83|0,67|1,21||
2018|Enero|Asturias|CEBOLLAS|543,04|707,04|1,3|66,94|0,5|0,65||
2018|Enero|Asturias|AJOS|106,9|477,38|4,47|47,77|0,1|0,44||
2018|Enero|Asturias|COLES|125,08|148,32|1,19|18,61|0,12|0,14||
2018|Enero|Asturias|PEPINOS|17,31|25,02|1,45|5,36|0,02|0,02||
2018|Enero|Asturias|JUDIAS VERDES|64,15|192,15|3|16,69|0,06|0,18||
2018|Enero|Asturias|PIMIENTOS|281,42|573,99|2,04|59,03|0,26|0,53||
2018|Enero|Asturias|CHAMPIÑONES+O.SETAS|100,96|473,92|4,69|39,71|0,09|0,44||
2018|Enero|Asturias|LECHUGA/ESC./ENDIVIA|236,92|656,1|2,77|45,94|0,22|0,61||
2018|Enero|Asturias|ESPARRAGOS|19,72|39,82|2,02|3,72|0,02|0,04||
2018|Enero|Asturias|VERDURAS DE HOJA|45,16|200,34|4,44|18,27|0,04|0,18||
2018|Enero|Asturias|BERENJENAS|80,31|163,98|2,04|15,36|0,07|0,15||
2018|Enero|Asturias|ZANAHORIAS|221,66|214,26|0,97|50,13|0,2|0,2||
2018|Enero|Asturias|CALABACINES|333,66|462,44|1,39|48,06|0,31|0,43||
2018|Enero|Asturias|OTR.HORTALIZAS/VERD.|685,98|1527,47|2,23|71,29|0,63|1,41||
2018|Enero|Asturias|BROCOLI|113,34|163,18|1,44|21,41|0,1|0,15||
2018|Enero|Asturias|ALCACHOFAS|59,43|104,22|1,75|9,53|0,05|0,1||
2018|Enero|Asturias|VERD./HORT. IV GAMA|437,4|1386,48|3,17|56,74|0,4|1,28||
2018|Enero|Baleares|TOTAL PATATAS|2612,78|2120,11|0,81|84,4|2,54|2,06||
2018|Enero|Baleares|PATATAS FRESCAS|1890,23|1403,53|0,74|75,16|1,83|1,36||
2018|Enero|Baleares|PATATAS CONGELADAS|84,77|113,89|1,34|12,65|0,08|0,11||
2018|Enero|Baleares|PATATAS PROCESADAS|127,56|602,7|4,72|44,5|0,12|0,59||
2018|Enero|Baleares|T.HORTALIZAS FRESCAS|5149,1|9584,95|1,86|98,34|5|9,3||
2018|Enero|Baleares|TOMATES|965,86|1796,34|1,86|83,93|0,94|1,74||
2018|Enero|Baleares|CEBOLLAS|878|905,23|1,03|81,61|0,85|0,88||
2018|Enero|Baleares|AJOS|42,86|198,42|4,63|28,91|0,04|0,19||
2018|Enero|Baleares|COLES|134,19|193,09|1,44|31,48|0,13|0,19||
2018|Enero|Baleares|PEPINOS|112,33|208,5|1,86|18,71|0,11|0,2||
2018|Enero|Baleares|JUDIAS VERDES|154,1|458,82|2,98|44,65|0,15|0,45||
2018|Enero|Baleares|PIMIENTOS|392,8|787,99|2,01|54,82|0,38|0,76||
2018|Enero|Baleares|CHAMPIÑONES+O.SETAS|194,17|655,11|3,37|49,26|0,19|0,64||
2018|Enero|Baleares|LECHUGA/ESC./ENDIVIA|279,64|819,08|2,93|63,61|0,27|0,8||
2018|Enero|Baleares|ESPARRAGOS|20,93|44,88|2,14|4,06|0,02|0,04||
2018|Enero|Baleares|VERDURAS DE HOJA|77,09|244,47|3,17|25,19|0,07|0,24||
2018|Enero|Baleares|BERENJENAS|108,22|195,36|1,81|33,16|0,11|0,19||
2018|Enero|Baleares|ZANAHORIAS|372,95|301,24|0,81|64,02|0,36|0,29||
2018|Enero|Baleares|CALABACINES|243,9|403,12|1,65|48,07|0,24|0,39||
2018|Enero|Baleares|OTR.HORTALIZAS/VERD.|1172,06|2373,3|2,02|86,79|1,14|2,3||
2018|Enero|Baleares|BROCOLI|137,72|243,09|1,77|34,2|0,13|0,24||
2018|Enero|Baleares|ALCACHOFAS|192,67|392,61|2,04|41,17|0,19|0,38||
2018|Enero|Baleares|VERD./HORT. IV GAMA|934,99|2053,41|2,2|68,82|0,91|1,99||
2018|Enero|Canarias|TOTAL PATATAS|5413,88|4592,87|0,85|80,54|2,48|2,1||
2018|Enero|Canarias|PATATAS FRESCAS|4425,69|3669,47|0,83|66,35|2,02|1,68||
2018|Enero|Canarias|PATATAS CONGELADAS|237,55|246,81|1,04|10,56|0,11|0,11||
2018|Enero|Canarias|PATATAS PROCESADAS|150,13|676,59|4,51|36,37|0,07|0,31||
2018|Enero|Canarias|T.HORTALIZAS FRESCAS|9826,05|18343,27|1,87|97,75|4,49|8,39||
2018|Enero|Canarias|TOMATES|1649,68|2692,34|1,63|80,95|0,75|1,23||
2018|Enero|Canarias|CEBOLLAS|1325,56|1355,73|1,02|77,41|0,61|0,62||
2018|Enero|Canarias|AJOS|93,1|368,1|3,95|43,46|0,04|0,17||
2018|Enero|Canarias|COLES|205,6|275,62|1,34|24,52|0,09|0,13||
2018|Enero|Canarias|PEPINOS|179,72|309,13|1,72|24,47|0,08|0,14||
2018|Enero|Canarias|JUDIAS VERDES|289,42|699,29|2,42|22,79|0,13|0,32||
2018|Enero|Canarias|PIMIENTOS|1139,83|2075,8|1,82|78,82|0,52|0,95||
2018|Enero|Canarias|CHAMPIÑONES+O.SETAS|211,69|834|3,94|39,98|0,1|0,38||
2018|Enero|Canarias|LECHUGA/ESC./ENDIVIA|252,13|836,3|3,32|42,52|0,12|0,38||
2018|Enero|Canarias|ESPARRAGOS|27,81|84,85|3,05|3,48|0,01|0,04||
2018|Enero|Canarias|VERDURAS DE HOJA|95,91|414,51|4,32|17,55|0,04|0,19||
2018|Enero|Canarias|BERENJENAS|94,69|198,31|2,09|17,2|0,04|0,09||
2018|Enero|Canarias|ZANAHORIAS|768,91|775,6|1,01|71|0,35|0,35||
2018|Enero|Canarias|CALABACINES|1309,37|1960,66|1,5|70,04|0,6|0,9||
2018|Enero|Canarias|OTR.HORTALIZAS/VERD.|2182,63|5463,02|2,5|88,32|1|2,5||
2018|Enero|Canarias|BROCOLI|87,48|204,28|2,34|12,89|0,04|0,09||
2018|Enero|Canarias|ALCACHOFAS|4,33|16,44|3,8|0,54|0|0,01||
2018|Enero|Canarias|VERD./HORT. IV GAMA|1511,13|3507,97|2,32|61,03|0,69|1,6||
2018|Enero|Cantabria|TOTAL PATATAS|1105,9|761,13|0,69|74,12|1,99|1,37||
2018|Enero|Cantabria|PATATAS FRESCAS|857,1|551,6|0,64|67,16|1,54|0,99||
2018|Enero|Cantabria|PATATAS CONGELADAS|26,83|36,23|1,35|7,44|0,05|0,07||
2018|Enero|Cantabria|PATATAS PROCESADAS|44,4|173,3|3,9|38,12|0,08|0,31||
2018|Enero|Cantabria|T.HORTALIZAS FRESCAS|2167,68|3919,77|1,81|98|3,89|7,04||
2018|Enero|Cantabria|TOMATES|292,46|535,09|1,83|62,85|0,53|0,96||
2018|Enero|Cantabria|CEBOLLAS|239,27|266,87|1,12|47,8|0,43|0,48||
2018|Enero|Cantabria|AJOS|33,46|148,06|4,43|22,72|0,06|0,27||
2018|Enero|Cantabria|COLES|57,16|59,24|1,04|19,74|0,1|0,11||
2018|Enero|Cantabria|PEPINOS|43,73|71,29|1,63|20,34|0,08|0,13||
2018|Enero|Cantabria|JUDIAS VERDES|55,63|177,92|3,2|16,17|0,1|0,32||
2018|Enero|Cantabria|PIMIENTOS|211,08|441,31|2,09|61,62|0,38|0,79||
2018|Enero|Cantabria|CHAMPIÑONES+O.SETAS|79,3|219,97|2,77|42,77|0,14|0,4||
2018|Enero|Cantabria|LECHUGA/ESC./ENDIVIA|116,52|311,12|2,67|60,4|0,21|0,56||
2018|Enero|Cantabria|ESPARRAGOS|0,57|4,76|8,33|0,74|0|0,01||
2018|Enero|Cantabria|VERDURAS DE HOJA|21,81|56,89|2,61|13,72|0,04|0,1||
2018|Enero|Cantabria|BERENJENAS|42,76|84,79|1,98|23,11|0,08|0,15||
2018|Enero|Cantabria|ZANAHORIAS|169,61|119,39|0,7|48,18|0,3|0,21||
2018|Enero|Cantabria|CALABACINES|159,51|253,85|1,59|41,9|0,29|0,46||
2018|Enero|Cantabria|OTR.HORTALIZAS/VERD.|644,81|1169,21|1,81|70,3|1,16|2,1||
2018|Enero|Cantabria|BROCOLI|88,3|164,7|1,87|27,7|0,16|0,3||
2018|Enero|Cantabria|ALCACHOFAS|17,3|34,18|1,98|8,05|0,03|0,06||
2018|Enero|Cantabria|VERD./HORT. IV GAMA|241,26|572,1|2,37|72,49|0,43|1,03||
2018|Enero|Castilla La Mancha|TOTAL PATATAS|4597,4|3445,59|0,75|75,59|2,19|1,64||
2018|Enero|Castilla La Mancha|PATATAS FRESCAS|3210,36|2018,6|0,63|64,53|1,53|0,96||
2018|Enero|Castilla La Mancha|PATATAS CONGELADAS|313|345,05|1,1|17,22|0,15|0,16||
2018|Enero|Castilla La Mancha|PATATAS PROCESADAS|214,81|1081,95|5,04|50,65|0,1|0,52||
2018|Enero|Castilla La Mancha|T.HORTALIZAS FRESCAS|7783,55|13613,38|1,75|96,82|3,71|6,49||
2018|Enero|Castilla La Mancha|TOMATES|1925,5|3019,56|1,57|76,16|0,92|1,44||
2018|Enero|Castilla La Mancha|CEBOLLAS|860,68|852,49|0,99|61,93|0,41|0,41||
2018|Enero|Castilla La Mancha|AJOS|99,13|376,27|3,8|30,86|0,05|0,18||
2018|Enero|Castilla La Mancha|COLES|181,18|173,26|0,96|14,08|0,09|0,08||
2018|Enero|Castilla La Mancha|PEPINOS|260,42|376,51|1,45|32,63|0,12|0,18||
2018|Enero|Castilla La Mancha|JUDIAS VERDES|209,3|623,97|2,98|30,71|0,1|0,3||
2018|Enero|Castilla La Mancha|PIMIENTOS|634,8|1131,28|1,78|56,71|0,3|0,54||
2018|Enero|Castilla La Mancha|CHAMPIÑONES+O.SETAS|277,74|1116,68|4,02|54,88|0,13|0,53||
2018|Enero|Castilla La Mancha|LECHUGA/ESC./ENDIVIA|372,23|990,77|2,66|53,3|0,18|0,47||
2018|Enero|Castilla La Mancha|ESPARRAGOS|118,14|280,63|2,38|11,6|0,06|0,13||
2018|Enero|Castilla La Mancha|VERDURAS DE HOJA|185,97|438,88|2,36|26,96|0,09|0,21||
2018|Enero|Castilla La Mancha|BERENJENAS|126,39|245,37|1,94|20,14|0,06|0,12||
2018|Enero|Castilla La Mancha|ZANAHORIAS|453,73|365|0,8|55,61|0,22|0,17||
2018|Enero|Castilla La Mancha|CALABACINES|718,27|1031,37|1,44|59,59|0,34|0,49||
2018|Enero|Castilla La Mancha|OTR.HORTALIZAS/VERD.|1360,06|2591,36|1,91|72,78|0,65|1,24||
2018|Enero|Castilla La Mancha|BROCOLI|167,27|246,93|1,48|22,37|0,08|0,12||
2018|Enero|Castilla La Mancha|ALCACHOFAS|257,47|474,7|1,84|25,29|0,12|0,23||
2018|Enero|Castilla La Mancha|VERD./HORT. IV GAMA|869,26|2139,66|2,46|64,27|0,41|1,02||
2018|Enero|Castilla Leon|TOTAL PATATAS|4092,65|2906,39|0,71|63,25|1,67|1,19||
2018|Enero|Castilla Leon|PATATAS FRESCAS|3043,99|1801,08|0,59|50,77|1,24|0,74||
2018|Enero|Castilla Leon|PATATAS CONGELADAS|127,83|161,58|1,26|8,22|0,05|0,07||
2018|Enero|Castilla Leon|PATATAS PROCESADAS|184,16|943,73|5,12|33,07|0,08|0,39||
2018|Enero|Castilla Leon|T.HORTALIZAS FRESCAS|8783,29|15284,8|1,74|95,76|3,59|6,25||
2018|Enero|Castilla Leon|TOMATES|1500,63|2438,2|1,62|69,58|0,61|1||
2018|Enero|Castilla Leon|CEBOLLAS|1061,73|1038,21|0,98|57,21|0,43|0,42||
2018|Enero|Castilla Leon|AJOS|117,59|463,28|3,94|26,18|0,05|0,19||
2018|Enero|Castilla Leon|COLES|383,01|415,04|1,08|26,19|0,16|0,17||
2018|Enero|Castilla Leon|PEPINOS|145,2|216,27|1,49|15,21|0,06|0,09||
2018|Enero|Castilla Leon|JUDIAS VERDES|258,11|697,83|2,7|25,14|0,11|0,29||
2018|Enero|Castilla Leon|PIMIENTOS|776,89|1394,1|1,79|61,41|0,32|0,57||
2018|Enero|Castilla Leon|CHAMPIÑONES+O.SETAS|260,52|857,84|3,29|34,09|0,11|0,35||
2018|Enero|Castilla Leon|LECHUGA/ESC./ENDIVIA|714,31|1772,49|2,48|60,43|0,29|0,72||
2018|Enero|Castilla Leon|ESPARRAGOS|135,32|514,25|3,8|4,61|0,06|0,21||
2018|Enero|Castilla Leon|VERDURAS DE HOJA|159,67|421,75|2,64|20,59|0,07|0,17||
2018|Enero|Castilla Leon|BERENJENAS|147,57|258,42|1,75|19,37|0,06|0,11||
2018|Enero|Castilla Leon|ZANAHORIAS|766,19|552,67|0,72|53,26|0,31|0,23||
2018|Enero|Castilla Leon|CALABACINES|630,55|851,99|1,35|46,68|0,26|0,35||
2018|Enero|Castilla Leon|OTR.HORTALIZAS/VERD.|1726|3392,46|1,97|77,58|0,71|1,39||
2018|Enero|Castilla Leon|BROCOLI|277,2|388,95|1,4|23,42|0,11|0,16||
2018|Enero|Castilla Leon|ALCACHOFAS|166,21|315,34|1,9|12,21|0,07|0,13||
2018|Enero|Castilla Leon|VERD./HORT. IV GAMA|1118,68|3058,33|2,73|60,43|0,46|1,25||
2018|Enero|Cataluña|TOTAL PATATAS|19590,65|16083,99|0,82|86,85|2,83|2,32||
2018|Enero|Cataluña|PATATAS FRESCAS|14309,07|10328,3|0,72|79,47|2,07|1,49||
2018|Enero|Cataluña|PATATAS CONGELADAS|616,32|812,53|1,32|11,86|0,09|0,12||
2018|Enero|Cataluña|PATATAS PROCESADAS|933,05|4943,15|5,3|54,72|0,13|0,71||
2018|Enero|Cataluña|T.HORTALIZAS FRESCAS|41332,1|78534,67|1,9|98,35|5,97|11,35||
2018|Enero|Cataluña|TOMATES|7779,26|15094,81|1,94|84,07|1,12|2,18||
2018|Enero|Cataluña|CEBOLLAS|5204,71|5713,65|1,1|78,89|0,75|0,83||
2018|Enero|Cataluña|AJOS|403,37|1737,14|4,31|34,17|0,06|0,25||
2018|Enero|Cataluña|COLES|1333,92|1392,88|1,04|28,11|0,19|0,2||
2018|Enero|Cataluña|PEPINOS|661,15|1040,8|1,57|22,68|0,1|0,15||
2018|Enero|Cataluña|JUDIAS VERDES|1695,4|6013,33|3,55|43,86|0,25|0,87||
2018|Enero|Cataluña|PIMIENTOS|2556,71|4930,74|1,93|60,54|0,37|0,71||
2018|Enero|Cataluña|CHAMPIÑONES+O.SETAS|1067,81|3700,99|3,47|41,74|0,15|0,53||
2018|Enero|Cataluña|LECHUGA/ESC./ENDIVIA|2561,67|7287,17|2,84|65,93|0,37|1,05||
2018|Enero|Cataluña|ESPARRAGOS|408,44|869,51|2,13|9,53|0,06|0,13||
2018|Enero|Cataluña|VERDURAS DE HOJA|960,66|2391,02|2,49|30,21|0,14|0,35||
2018|Enero|Cataluña|BERENJENAS|956,41|1738,83|1,82|41,14|0,14|0,25||
2018|Enero|Cataluña|ZANAHORIAS|2165,8|1986,49|0,92|56,51|0,31|0,29||
2018|Enero|Cataluña|CALABACINES|2594,5|3975,87|1,53|50,93|0,37|0,57||
2018|Enero|Cataluña|OTR.HORTALIZAS/VERD.|10982,28|20661,43|1,88|88,51|1,59|2,99||
2018|Enero|Cataluña|BROCOLI|1544,37|1833,26|1,19|34,88|0,22|0,26||
2018|Enero|Cataluña|ALCACHOFAS|2527,17|5005,09|1,98|46,45|0,37|0,72||
2018|Enero|Cataluña|VERD./HORT. IV GAMA|4523,53|12190,38|2,69|70,94|0,65|1,76||
2018|Enero|Extremadura|TOTAL PATATAS|2181,27|1542,54|0,71|79,27|1,85|1,31||
2018|Enero|Extremadura|PATATAS FRESCAS|1611,04|948,7|0,59|60,77|1,37|0,8||
2018|Enero|Extremadura|PATATAS CONGELADAS|127,8|137,47|1,08|12,7|0,11|0,12||
2018|Enero|Extremadura|PATATAS PROCESADAS|88,49|456,37|5,16|46,07|0,08|0,39||
2018|Enero|Extremadura|T.HORTALIZAS FRESCAS|3930,43|6573,6|1,67|96,1|3,33|5,58||
2018|Enero|Extremadura|TOMATES|852,13|1288,35|1,51|78,05|0,72|1,09||
2018|Enero|Extremadura|CEBOLLAS|481,33|482,73|1|61,46|0,41|0,41||
2018|Enero|Extremadura|AJOS|53,36|217|4,07|37,45|0,05|0,18||
2018|Enero|Extremadura|COLES|186,79|154,26|0,83|12,4|0,16|0,13||
2018|Enero|Extremadura|PEPINOS|64,48|93,17|1,45|20,2|0,05|0,08||
2018|Enero|Extremadura|JUDIAS VERDES|78,4|206,2|2,63|21,8|0,07|0,17||
2018|Enero|Extremadura|PIMIENTOS|248,91|448,95|1,8|53,42|0,21|0,38||
2018|Enero|Extremadura|CHAMPIÑONES+O.SETAS|92,89|311,71|3,36|41,53|0,08|0,26||
2018|Enero|Extremadura|LECHUGA/ESC./ENDIVIA|296,45|813|2,74|55,49|0,25|0,69||
2018|Enero|Extremadura|ESPARRAGOS|9,96|49,5|4,97|5,08|0,01|0,04||
2018|Enero|Extremadura|VERDURAS DE HOJA|107,18|254,89|2,38|25,12|0,09|0,22||
2018|Enero|Extremadura|BERENJENAS|43,99|81,55|1,85|19,01|0,04|0,07||
2018|Enero|Extremadura|ZANAHORIAS|236,01|205,79|0,87|47,45|0,2|0,17||
2018|Enero|Extremadura|CALABACINES|271,23|352,72|1,3|46,61|0,23|0,3||
2018|Enero|Extremadura|OTR.HORTALIZAS/VERD.|907,32|1613,78|1,78|69,48|0,77|1,37||
2018|Enero|Extremadura|BROCOLI|205,68|228,09|1,11|23,65|0,17|0,19||
2018|Enero|Extremadura|ALCACHOFAS|117,81|224,03|1,9|20,96|0,1|0,19||
2018|Enero|Extremadura|VERD./HORT. IV GAMA|396,75|1108,63|2,79|66,5|0,34|0,94||
2018|Enero|Galicia|TOTAL PATATAS|5652,75|3867,87|0,68|61,01|2,04|1,4||
2018|Enero|Galicia|PATATAS FRESCAS|4598,08|2830,53|0,62|46|1,66|1,02||
2018|Enero|Galicia|PATATAS CONGELADAS|129,49|143,88|1,11|6,43|0,05|0,05||
2018|Enero|Galicia|PATATAS PROCESADAS|185,03|893,47|4,83|31,41|0,07|0,32||
2018|Enero|Galicia|T.HORTALIZAS FRESCAS|10103,3|17445,45|1,73|96,57|3,65|6,3||
2018|Enero|Galicia|TOMATES|1528,42|2885,19|1,89|71,24|0,55|1,04||
2018|Enero|Galicia|CEBOLLAS|938,46|1047,81|1,12|50,09|0,34|0,38||
2018|Enero|Galicia|AJOS|160,72|603,06|3,75|29,63|0,06|0,22||
2018|Enero|Galicia|COLES|931,61|1049,47|1,13|34,58|0,34|0,38||
2018|Enero|Galicia|PEPINOS|77,33|107,24|1,39|7,36|0,03|0,04||
2018|Enero|Galicia|JUDIAS VERDES|310,69|791,97|2,55|23,56|0,11|0,29||
2018|Enero|Galicia|PIMIENTOS|699,94|1353,06|1,93|55,54|0,25|0,49||
2018|Enero|Galicia|CHAMPIÑONES+O.SETAS|230,74|811,86|3,52|27,94|0,08|0,29||
2018|Enero|Galicia|LECHUGA/ESC./ENDIVIA|801,29|1805,54|2,25|54,91|0,29|0,65||
2018|Enero|Galicia|ESPARRAGOS|82,7|151,42|1,83|4,48|0,03|0,05||
2018|Enero|Galicia|VERDURAS DE HOJA|191,85|516,45|2,69|21,89|0,07|0,19||
2018|Enero|Galicia|BERENJENAS|103,82|177,27|1,71|12,69|0,04|0,06||
2018|Enero|Galicia|ZANAHORIAS|870,58|773,78|0,89|60,79|0,31|0,28||
2018|Enero|Galicia|CALABACINES|590,82|823,81|1,39|37,77|0,21|0,3||
2018|Enero|Galicia|OTR.HORTALIZAS/VERD.|2584,33|4547,52|1,76|75,43|0,93|1,64||
2018|Enero|Galicia|BROCOLI|540,16|745,72|1,38|34|0,19|0,27||
2018|Enero|Galicia|ALCACHOFAS|72,25|147,54|2,04|6,56|0,03|0,05||
2018|Enero|Galicia|VERD./HORT. IV GAMA|944,58|2381,69|2,52|53,28|0,34|0,86||
2018|Enero|La Rioja|TOTAL PATATAS|504,68|351,96|0,7|67,27|1,59|1,11||
2018|Enero|La Rioja|PATATAS FRESCAS|402,25|238,73|0,59|51,59|1,27|0,75||
