product|origen|Unidad|familia|YEAR|MONTH|price_mean|Volumen
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|7|0,65|40
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|8|0,666666667|1114
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|9|0,591666667|500
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|10|0,61|4710
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|11|0,545|2562
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2019|12|0,709090909|2314
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|1|0,6625|2509
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|2|0,6|277
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|3|0,73|1266
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|4|0,775|739
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|5|0,8|312
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|6|0,575|742
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|7|0,566666667|360
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|9|0,5|60
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|10|0,5|395
ACELGAS|ALICANTE|kg|HORTALIZAS HOJA|2020|11|0,516666667|304
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2018|1|0,75|312
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2018|2|0,75|233
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2018|3|0,6|68
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2018|4|0,575|547
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2018|5|0,55|752
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2018|12|0,766666667|744
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2019|1|0,8|14
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2019|2|0,7|150
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2019|3|0,625|285
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2019|4|0,642857143|1816
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2019|5|0,55|1760
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2019|6|0,45|1036
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2020|3|0,725|388
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2020|10|0,5|705
ACELGAS|ALMERIA|kg|HORTALIZAS HOJA|2020|11|0,5|865
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|1|0,778571429|231649
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|2|0,71|223354
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|3|0,54047619|235137
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|4|0,5675|212751
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|5|0,561363636|215514
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|6|0,55952381|167705
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|7|0,563636364|136581
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|8|0,575|112884
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|9|0,627777778|138930
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|10|0,656818182|260073
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|11|0,864285714|175374
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2018|12|0,816666667|132908
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|1|0,909090909|249992
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|2|0,705|277370
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|3|0,564285714|281166
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|4|0,6375|248738
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|5|0,540909091|231164
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|6|0,513888889|182019
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|7|0,582608696|137090
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|8|0,561904762|98047
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|9|0,618421053|230776
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|10|0,630434783|266625
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|11|0,5175|227448
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2019|12|0,718421053|167649
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|1|0,661904762|230982
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|2|0,62|72566
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|3|0,706666667|150459
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|4|0,695|220708
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|5|0,8125|184967
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|6|0,565|183394
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|7|0,497391304|143738
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|8|0,482857143|113033
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|9|0,5|218307
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|10|0,5|245202
ACELGAS|BARCELONA|kg|HORTALIZAS HOJA|2020|11|0,514285714|251589
ACELGAS|BURGOS|kg|HORTALIZAS HOJA|2018|4|0,54|3040
ACELGAS|BURGOS|kg|HORTALIZAS HOJA|2020|3|0,65|640
ACELGAS|BURGOS|kg|HORTALIZAS HOJA|2020|4|0,705555556|4288
ACELGAS|CADIZ|kg|HORTALIZAS HOJA|2018|1|0,771428571|1224
ACELGAS|CADIZ|kg|HORTALIZAS HOJA|2018|2|0,75|264
ACELGAS|CADIZ|kg|HORTALIZAS HOJA|2018|10|0,65|105
ACELGAS|CADIZ|kg|HORTALIZAS HOJA|2018|11|0,95|25000
ACELGAS|CADIZ|kg|HORTALIZAS HOJA|2019|2|0,6|35
ACELGAS|CATELLON|kg|HORTALIZAS HOJA|2018|2|0,75|80
ACELGAS|CATELLON|kg|HORTALIZAS HOJA|2018|3|0,575|186
ACELGAS|CATELLON|kg|HORTALIZAS HOJA|2019|3|0,5|240
ACELGAS|CHILE|kg|HORTALIZAS HOJA|2020|9|0,5|31
ACELGAS|CHINA|kg|HORTALIZAS HOJA|2018|11|0,95|6
ACELGAS|CHINA|kg|HORTALIZAS HOJA|2018|12|0,766666667|90
ACELGAS|CHINA|kg|HORTALIZAS HOJA|2019|1|1,1|30
ACELGAS|CORDOBA|kg|HORTALIZAS HOJA|2020|10|0,5|120
ACELGAS|ECUADOR|kg|HORTALIZAS HOJA|2018|2|0,7|199
ACELGAS|ECUADOR|kg|HORTALIZAS HOJA|2018|4|0,55|500
ACELGAS|ECUADOR|kg|HORTALIZAS HOJA|2018|5|0,5|33835
ACELGAS|ECUADOR|kg|HORTALIZAS HOJA|2018|11|0,95|55615
ACELGAS|GERONA|kg|HORTALIZAS HOJA|2020|7|0,48|2
ACELGAS|GERONA|kg|HORTALIZAS HOJA|2020|8|0,483333333|8
ACELGAS|GRANADA|kg|HORTALIZAS HOJA|2018|11|0,65|230
ACELGAS|GRANADA|kg|HORTALIZAS HOJA|2019|2|0,7|184
ACELGAS|GRANADA|kg|HORTALIZAS HOJA|2019|4|0,616666667|334
ACELGAS|GRANADA|kg|HORTALIZAS HOJA|2019|5|0,583333333|404
ACELGAS|GRANADA|kg|HORTALIZAS HOJA|2020|1|0,6|322
ACELGAS|GRANADA|kg|HORTALIZAS HOJA|2020|4|0,8|69
ACELGAS|GRANADA|kg|HORTALIZAS HOJA|2020|5|0,875|102
ACELGAS|GRANADA|kg|HORTALIZAS HOJA|2020|9|0,5|44
ACELGAS|HUELVA|kg|HORTALIZAS HOJA|2019|12|0,8|708
ACELGAS|HUELVA|kg|HORTALIZAS HOJA|2020|1|0,7|160
ACELGAS|HUESCA|kg|HORTALIZAS HOJA|2018|3|0,6|24
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2018|2|0,75|16
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2018|3|0,5375|20
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2018|4|0,55|16
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2018|7|0,6|2
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2018|10|0,6625|68
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2018|11|0,916666667|17
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2018|12|0,7|13
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2019|1|1,05|15
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2019|4|0,65|17
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2019|6|0,525|42
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2019|7|0,616666667|98
ACELGAS|ITALIA|kg|HORTALIZAS HOJA|2019|12|0,725|24
ACELGAS|LA CORUÑA|kg|HORTALIZAS HOJA|2018|3|0,55|1148
ACELGAS|LA CORUÑA|kg|HORTALIZAS HOJA|2018|4|0,575|404
ACELGAS|LA CORUÑA|kg|HORTALIZAS HOJA|2018|6|0,6|231
ACELGAS|LERIDA|kg|HORTALIZAS HOJA|2018|1|0,7|168
ACELGAS|LERIDA|kg|HORTALIZAS HOJA|2018|2|0,725|1300
ACELGAS|LERIDA|kg|HORTALIZAS HOJA|2018|3|0,466666667|1056
ACELGAS|LERIDA|kg|HORTALIZAS HOJA|2020|10|0,5|264
ACELGAS|MADRID|kg|HORTALIZAS HOJA|2018|2|0,7|455
ACELGAS|MADRID|kg|HORTALIZAS HOJA|2018|3|0,55|192
ACELGAS|MADRID|kg|HORTALIZAS HOJA|2018|4|0,6|1595
ACELGAS|MADRID|kg|HORTALIZAS HOJA|2018|6|0,55|2120
ACELGAS|MADRID|kg|HORTALIZAS HOJA|2018|12|0,7|80
ACELGAS|MADRID|kg|HORTALIZAS HOJA|2020|7|0,48|669
ACELGAS|MARRUECOS|kg|HORTALIZAS HOJA|2018|12|0,8|400
ACELGAS|MARRUECOS|kg|HORTALIZAS HOJA|2019|1|1,05|560
ACELGAS|MARRUECOS|kg|HORTALIZAS HOJA|2019|4|0,633333333|880
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|1|0,779166667|553
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|2|0,708333333|1546
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|3|0,508333333|1682
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|4|0,572222222|1140
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|5|0,561764706|2064
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|6|0,566666667|752
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|7|0,65|320
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|8|0,525|1056
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|9|0,65|250
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|11|0,95|12
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2018|12|0,7|640
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2019|1|1,06|768
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2019|4|0,675|600
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2019|6|0,45|360
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2019|7|0,6|102
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2019|12|0,65|520
ACELGAS|MURCIA|kg|HORTALIZAS HOJA|2020|6|0,6|120
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|2|0,721428571|537
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|3|0,522222222|1397
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|4|0,556666667|338
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|5|0,592307692|737
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|6|0,563888889|133
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|7|0,583333333|242
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|8|0,6|163
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|9|0,635|82
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|10|0,658823529|246
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|11|0,809090909|67
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2018|12|0,7|31
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2019|1|1,05|8
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2019|4|0,65|32
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2019|6|0,525|104
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2019|7|0,60625|166
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2019|12|0,733333333|63
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2020|6|0,6|6
ACELGAS|NAVARRA|kg|HORTALIZAS HOJA|2020|7|0,6|3
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2018|4|0,591666667|9643
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2018|7|0,6|4423
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2018|9|0,65|8011
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2018|10|0,68|6722
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2018|11|0,69|3312
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2018|12|0,7|917
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2019|1|1|3206
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2019|2|0,9|1714
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2019|4|0,65|1350
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2019|6|0,51|10890
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2019|7|0,611111111|3840
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2019|12|0,733333333|12786
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2020|6|0,6|1070
ACELGAS|OTRAS PROVINCIAS|kg|HORTALIZAS HOJA|2020|7|0,6|296
ACELGAS|OTROS AMERICA|kg|HORTALIZAS HOJA|2018|1|0,75|240
ACELGAS|OTROS AMERICA|kg|HORTALIZAS HOJA|2018|3|0,6|960
ACELGAS|OTROS AMERICA|kg|HORTALIZAS HOJA|2018|4|0,55|1170
ACELGAS|OTROS AMERICA|kg|HORTALIZAS HOJA|2019|1|0,98|960
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|1|0,779411765|8077
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|4|0,566666667|884
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|5|0,558333333|5330
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|6|0,55625|7314
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|7|0,570588235|5894
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|8|0,579411765|6668
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|9|0,623333333|8904
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|10|0,66|5892
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|11|0,83|2482
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2018|12|0,841666667|1731
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2019|1|1,06|2004
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2019|2|0,9|384
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2019|4|0,666666667|918
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2019|6|0,51|1106
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2019|7|0,605555556|1420
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2019|9|0,636363636|18061
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2019|10|0,6|5757
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2019|12|0,7|104
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2020|1|0,7|4690
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2020|3|0,7|135
ACELGAS|TARRAGONA|kg|HORTALIZAS HOJA|2020|4|0,75|96
ACELGAS|USA|kg|HORTALIZAS HOJA|2018|3|0,6|9
ACELGAS|USA|kg|HORTALIZAS HOJA|2019|7|0,6|18
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|1|0,783333333|7587
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|2|0,707142857|2326
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|3|0,52|9710
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|4|0,571428571|7982
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|5|0,561764706|6811
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|6|0,563888889|4349
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|7|0,56875|4491
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|8|0,573809524|5808
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|9|0,626923077|2190
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|10|0,6575|7964
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|11|0,8625|7767
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2018|12|0,816666667|7887
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|1|1|3869
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|2|0,9|69
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|4|0,65|5351
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|6|0,51|3664
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|7|0,611111111|2023
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|8|0,592857143|2705
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|9|0,675|59
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|10|0,605|1236
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|11|0,530555556|20546
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2019|12|0,692307692|17358
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2020|1|0,65|14508
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2020|2|0,62|4640
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2020|3|0,7|1384
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2020|4|0,7|1766
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2020|5|0,83|1466
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2020|6|0,567647059|2094
ACELGAS|VALENCIA|kg|HORTALIZAS HOJA|2020|7|0,6|75
ACELGAS|VALLADOLID|kg|HORTALIZAS HOJA|2018|10|0,65|420
AGUACATE|ALAVA|kg|FRUTAS EXÃTICAS|2020|9|2,5|264
AGUACATE|ALBACETE|kg|FRUTAS EXÃTICAS|2018|4|2,9|167
AGUACATE|ALICANTE|kg|FRUTAS EXÃTICAS|2018|3|3,35|106
AGUACATE|ALICANTE|kg|FRUTAS EXÃTICAS|2018|12|2,7|10272
AGUACATE|ALICANTE|kg|FRUTAS EXÃTICAS|2019|1|3|252
AGUACATE|ALICANTE|kg|FRUTAS EXÃTICAS|2019|12|3,4|266
AGUACATE|ALICANTE|kg|FRUTAS EXÃTICAS|2020|2|3,2|5280
AGUACATE|ALMERIA|kg|FRUTAS EXÃTICAS|2018|4|3,6|115
AGUACATE|ALMERIA|kg|FRUTAS EXÃTICAS|2018|5|3|30
AGUACATE|ALMERIA|kg|FRUTAS EXÃTICAS|2018|8|2,75|23841
AGUACATE|ALMERIA|kg|FRUTAS EXÃTICAS|2018|11|2,4|977
AGUACATE|ALMERIA|kg|FRUTAS EXÃTICAS|2019|2|3|192
AGUACATE|ALMERIA|kg|FRUTAS EXÃTICAS|2019|3|3|176
AGUACATE|ALMERIA|kg|FRUTAS EXÃTICAS|2020|10|2|80
AGUACATE|AVILA|kg|FRUTAS EXÃTICAS|2020|11|3,625|11842
AGUACATE|BALEARES|kg|FRUTAS EXÃTICAS|2018|1|3|256
AGUACATE|BALEARES|kg|FRUTAS EXÃTICAS|2018|2|3,35|320
AGUACATE|BALEARES|kg|FRUTAS EXÃTICAS|2018|3|3,45|2696
AGUACATE|BALEARES|kg|FRUTAS EXÃTICAS|2018|4|3,185714286|2240
AGUACATE|BARCELONA|kg|FRUTAS EXÃTICAS|2018|3|3,403125|24015
AGUACATE|BARCELONA|kg|FRUTAS EXÃTICAS|2018|4|3,142105263|34536
AGUACATE|BARCELONA|kg|FRUTAS EXÃTICAS|2018|5|3,033333333|51293
AGUACATE|BARCELONA|kg|FRUTAS EXÃTICAS|2018|6|3|17992
AGUACATE|BARCELONA|kg|FRUTAS EXÃTICAS|2018|7|2,904166667|43869
