product;origen;familia;price_mean_euro_kg;Volumen;date
ACEITUNAS;LERIDA;FRUTAS HUESO;3.8;6;2018-04-01
ACEITUNAS;LERIDA;FRUTAS HUESO;3.8;760;2020-01-01
ACEITUNAS;OTRAS PROVINCIAS;FRUTAS HUESO;3.8;660;2018-11-01
ACEITUNAS;SEVILLA;FRUTAS HUESO;3.8;9104;2018-09-01
ACEITUNAS;SEVILLA;FRUTAS HUESO;3.8;30287;2018-10-01
ACEITUNAS;SEVILLA;FRUTAS HUESO;3.8;33379;2018-11-01
ACEITUNAS;SEVILLA;FRUTAS HUESO;3.8;18636;2019-09-01
ACEITUNAS;SEVILLA;FRUTAS HUESO;3.8;896;2019-10-01
ACEITUNAS;SEVILLA;FRUTAS HUESO;3.8;300;2019-11-01
ACEITUNAS;SEVILLA;FRUTAS HUESO;3.8;2030;2020-09-01
ACEITUNAS;SEVILLA;FRUTAS HUESO;3.8;130;2020-10-01
ACEITUNAS;TARRAGONA;FRUTAS HUESO;3.8;143;2018-09-01
ACEITUNAS;TARRAGONA;FRUTAS HUESO;3.8;903;2018-10-01
ACEITUNAS;TARRAGONA;FRUTAS HUESO;3.8;2249;2019-09-01
ACEITUNAS;TARRAGONA;FRUTAS HUESO;3.8;3318;2019-10-01
ACEITUNAS;TARRAGONA;FRUTAS HUESO;3.8;88;2019-11-01
ACEITUNAS;TARRAGONA;FRUTAS HUESO;3.8;45;2020-05-01
ACEITUNAS;TARRAGONA;FRUTAS HUESO;3.8;1225;2020-09-01
ACEITUNAS;TARRAGONA;FRUTAS HUESO;3.8;1040;2020-10-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;4708;2018-09-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;330;2018-10-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;205;2019-08-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;4335;2019-09-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;801;2019-10-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;223;2020-08-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;2712;2020-09-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;630;2020-10-01
ACEITUNAS;VALENCIA;FRUTAS HUESO;3.8;9;2020-11-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.5;280;2018-05-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.5;182;2018-07-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.55;119;2018-09-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.6;2305;2019-07-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.5;2240;2019-08-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.653846154;20260;2019-10-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.7;12;2019-12-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.7;1289;2020-01-01
ACELGAS;ALEMANIA;HORTALIZAS HOJA;0.6;1620;2020-06-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.75;408;2018-01-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.575;1420;2018-03-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.95;302;2018-11-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.838461538;4056;2018-12-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.883333333;2529;2019-01-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.766666667;250;2019-02-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.56;1400;2019-03-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.635714286;370;2019-04-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.54;340;2019-05-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.55;346;2019-06-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.65;40;2019-07-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.666666667;1114;2019-08-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.591666667;500;2019-09-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.61;4710;2019-10-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.545;2562;2019-11-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.709090909;2314;2019-12-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.6625;2509;2020-01-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.6;277;2020-02-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.73;1266;2020-03-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.775;739;2020-04-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.8;312;2020-05-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.575;742;2020-06-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.566666667;360;2020-07-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.5;60;2020-09-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.5;395;2020-10-01
ACELGAS;ALICANTE;HORTALIZAS HOJA;0.516666667;304;2020-11-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.75;312;2018-01-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.75;233;2018-02-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.6;68;2018-03-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.575;547;2018-04-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.55;752;2018-05-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.766666667;744;2018-12-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.8;14;2019-01-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.7;150;2019-02-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.625;285;2019-03-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.642857143;1816;2019-04-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.55;1760;2019-05-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.45;1036;2019-06-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.725;388;2020-03-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.5;705;2020-10-01
ACELGAS;ALMERIA;HORTALIZAS HOJA;0.5;865;2020-11-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.778571429;231649;2018-01-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.71;223354;2018-02-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.54047619;235137;2018-03-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.5675;212751;2018-04-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.561363636;215514;2018-05-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.55952381;167705;2018-06-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.563636364;136581;2018-07-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.575;112884;2018-08-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.627777778;138930;2018-09-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.656818182;260073;2018-10-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.864285714;175374;2018-11-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.816666667;132908;2018-12-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.909090909;249992;2019-01-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.705;277370;2019-02-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.564285714;281166;2019-03-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.6375;248738;2019-04-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.540909091;231164;2019-05-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.513888889;182019;2019-06-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.582608696;137090;2019-07-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.561904762;98047;2019-08-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.618421053;230776;2019-09-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.630434783;266625;2019-10-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.5175;227448;2019-11-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.718421053;167649;2019-12-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.661904762;230982;2020-01-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.62;72566;2020-02-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.706666667;150459;2020-03-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.695;220708;2020-04-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.8125;184967;2020-05-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.565;183394;2020-06-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.497391304;143738;2020-07-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.482857143;113033;2020-08-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.5;218307;2020-09-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.5;245202;2020-10-01
ACELGAS;BARCELONA;HORTALIZAS HOJA;0.514285714;251589;2020-11-01
ACELGAS;BURGOS;HORTALIZAS HOJA;0.54;3040;2018-04-01
ACELGAS;BURGOS;HORTALIZAS HOJA;0.65;640;2020-03-01
ACELGAS;BURGOS;HORTALIZAS HOJA;0.705555556;4288;2020-04-01
ACELGAS;CADIZ;HORTALIZAS HOJA;0.771428571;1224;2018-01-01
ACELGAS;CADIZ;HORTALIZAS HOJA;0.75;264;2018-02-01
ACELGAS;CADIZ;HORTALIZAS HOJA;0.65;105;2018-10-01
ACELGAS;CADIZ;HORTALIZAS HOJA;0.95;25000;2018-11-01
ACELGAS;CADIZ;HORTALIZAS HOJA;0.6;35;2019-02-01
ACELGAS;CATELLON;HORTALIZAS HOJA;0.75;80;2018-02-01
ACELGAS;CATELLON;HORTALIZAS HOJA;0.575;186;2018-03-01
ACELGAS;CATELLON;HORTALIZAS HOJA;0.5;240;2019-03-01
ACELGAS;CHILE;HORTALIZAS HOJA;0.5;31;2020-09-01
ACELGAS;CHINA;HORTALIZAS HOJA;0.95;6;2018-11-01
ACELGAS;CHINA;HORTALIZAS HOJA;0.766666667;90;2018-12-01
ACELGAS;CHINA;HORTALIZAS HOJA;1.1;30;2019-01-01
ACELGAS;CORDOBA;HORTALIZAS HOJA;0.5;120;2020-10-01
ACELGAS;ECUADOR;HORTALIZAS HOJA;0.7;199;2018-02-01
ACELGAS;ECUADOR;HORTALIZAS HOJA;0.55;500;2018-04-01
ACELGAS;ECUADOR;HORTALIZAS HOJA;0.5;33835;2018-05-01
ACELGAS;ECUADOR;HORTALIZAS HOJA;0.95;55615;2018-11-01
ACELGAS;GERONA;HORTALIZAS HOJA;0.48;2;2020-07-01
ACELGAS;GERONA;HORTALIZAS HOJA;0.483333333;8;2020-08-01
ACELGAS;GRANADA;HORTALIZAS HOJA;0.65;230;2018-11-01
ACELGAS;GRANADA;HORTALIZAS HOJA;0.7;184;2019-02-01
ACELGAS;GRANADA;HORTALIZAS HOJA;0.616666667;334;2019-04-01
ACELGAS;GRANADA;HORTALIZAS HOJA;0.583333333;404;2019-05-01
ACELGAS;GRANADA;HORTALIZAS HOJA;0.6;322;2020-01-01
ACELGAS;GRANADA;HORTALIZAS HOJA;0.8;69;2020-04-01
ACELGAS;GRANADA;HORTALIZAS HOJA;0.875;102;2020-05-01
ACELGAS;GRANADA;HORTALIZAS HOJA;0.5;44;2020-09-01
ACELGAS;HUELVA;HORTALIZAS HOJA;0.8;708;2019-12-01
ACELGAS;HUELVA;HORTALIZAS HOJA;0.7;160;2020-01-01
ACELGAS;HUESCA;HORTALIZAS HOJA;0.6;24;2018-03-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.75;16;2018-02-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.5375;20;2018-03-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.55;16;2018-04-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.6;2;2018-07-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.6625;68;2018-10-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.916666667;17;2018-11-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.7;13;2018-12-01
ACELGAS;ITALIA;HORTALIZAS HOJA;1.05;15;2019-01-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.65;17;2019-04-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.525;42;2019-06-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.616666667;98;2019-07-01
ACELGAS;ITALIA;HORTALIZAS HOJA;0.725;24;2019-12-01
ACELGAS;LA CORUÑA;HORTALIZAS HOJA;0.55;1148;2018-03-01
ACELGAS;LA CORUÑA;HORTALIZAS HOJA;0.575;404;2018-04-01
ACELGAS;LA CORUÑA;HORTALIZAS HOJA;0.6;231;2018-06-01
ACELGAS;LERIDA;HORTALIZAS HOJA;0.7;168;2018-01-01
ACELGAS;LERIDA;HORTALIZAS HOJA;0.725;1300;2018-02-01
ACELGAS;LERIDA;HORTALIZAS HOJA;0.466666667;1056;2018-03-01
ACELGAS;LERIDA;HORTALIZAS HOJA;0.5;264;2020-10-01
ACELGAS;MADRID;HORTALIZAS HOJA;0.7;455;2018-02-01
ACELGAS;MADRID;HORTALIZAS HOJA;0.55;192;2018-03-01
ACELGAS;MADRID;HORTALIZAS HOJA;0.6;1595;2018-04-01
ACELGAS;MADRID;HORTALIZAS HOJA;0.55;2120;2018-06-01
ACELGAS;MADRID;HORTALIZAS HOJA;0.7;80;2018-12-01
ACELGAS;MADRID;HORTALIZAS HOJA;0.48;669;2020-07-01
ACELGAS;MARRUECOS;HORTALIZAS HOJA;0.8;400;2018-12-01
ACELGAS;MARRUECOS;HORTALIZAS HOJA;1.05;560;2019-01-01
ACELGAS;MARRUECOS;HORTALIZAS HOJA;0.633333333;880;2019-04-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.779166667;553;2018-01-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.708333333;1546;2018-02-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.508333333;1682;2018-03-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.572222222;1140;2018-04-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.561764706;2064;2018-05-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.566666667;752;2018-06-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.65;320;2018-07-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.525;1056;2018-08-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.65;250;2018-09-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.95;12;2018-11-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.7;640;2018-12-01
ACELGAS;MURCIA;HORTALIZAS HOJA;1.06;768;2019-01-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.675;600;2019-04-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.45;360;2019-06-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.6;102;2019-07-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.65;520;2019-12-01
ACELGAS;MURCIA;HORTALIZAS HOJA;0.6;120;2020-06-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.721428571;537;2018-02-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.522222222;1397;2018-03-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.556666667;338;2018-04-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.592307692;737;2018-05-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.563888889;133;2018-06-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.583333333;242;2018-07-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.6;163;2018-08-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.635;82;2018-09-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.658823529;246;2018-10-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.809090909;67;2018-11-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.7;31;2018-12-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;1.05;8;2019-01-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.65;32;2019-04-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.525;104;2019-06-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.60625;166;2019-07-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.733333333;63;2019-12-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.6;6;2020-06-01
ACELGAS;NAVARRA;HORTALIZAS HOJA;0.6;3;2020-07-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.591666667;9643;2018-04-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.6;4423;2018-07-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.65;8011;2018-09-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.68;6722;2018-10-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.69;3312;2018-11-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.7;917;2018-12-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;1.0;3206;2019-01-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.9;1714;2019-02-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.65;1350;2019-04-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.51;10890;2019-06-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.611111111;3840;2019-07-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.733333333;12786;2019-12-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.6;1070;2020-06-01
ACELGAS;OTRAS PROVINCIAS;HORTALIZAS HOJA;0.6;296;2020-07-01
ACELGAS;OTROS AMERICA;HORTALIZAS HOJA;0.75;240;2018-01-01
ACELGAS;OTROS AMERICA;HORTALIZAS HOJA;0.6;960;2018-03-01
ACELGAS;OTROS AMERICA;HORTALIZAS HOJA;0.55;1170;2018-04-01
ACELGAS;OTROS AMERICA;HORTALIZAS HOJA;0.98;960;2019-01-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.779411765;8077;2018-01-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.566666667;884;2018-04-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.558333333;5330;2018-05-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.55625;7314;2018-06-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.570588235;5894;2018-07-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.579411765;6668;2018-08-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.623333333;8904;2018-09-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.66;5892;2018-10-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.83;2482;2018-11-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.841666667;1731;2018-12-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;1.06;2004;2019-01-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.9;384;2019-02-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.666666667;918;2019-04-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.51;1106;2019-06-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.605555556;1420;2019-07-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.636363636;18061;2019-09-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.6;5757;2019-10-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.7;104;2019-12-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.7;4690;2020-01-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.7;135;2020-03-01
ACELGAS;TARRAGONA;HORTALIZAS HOJA;0.75;96;2020-04-01
ACELGAS;USA;HORTALIZAS HOJA;0.6;9;2018-03-01
ACELGAS;USA;HORTALIZAS HOJA;0.6;18;2019-07-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.783333333;7587;2018-01-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.707142857;2326;2018-02-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.52;9710;2018-03-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.571428571;7982;2018-04-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.561764706;6811;2018-05-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.563888889;4349;2018-06-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.56875;4491;2018-07-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.573809524;5808;2018-08-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.626923077;2190;2018-09-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.6575;7964;2018-10-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.8625;7767;2018-11-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.816666667;7887;2018-12-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;1.0;3869;2019-01-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.9;69;2019-02-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.65;5351;2019-04-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.51;3664;2019-06-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.611111111;2023;2019-07-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.592857143;2705;2019-08-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.675;59;2019-09-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.605;1236;2019-10-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.530555556;20546;2019-11-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.692307692;17358;2019-12-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.65;14508;2020-01-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.62;4640;2020-02-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.7;1384;2020-03-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.7;1766;2020-04-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.83;1466;2020-05-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.567647059;2094;2020-06-01
ACELGAS;VALENCIA;HORTALIZAS HOJA;0.6;75;2020-07-01
ACELGAS;VALLADOLID;HORTALIZAS HOJA;0.65;420;2018-10-01
AGUACATE;ALAVA;FRUTAS EXÃTICAS;2.5;264;2020-09-01
AGUACATE;ALBACETE;FRUTAS EXÃTICAS;2.9;167;2018-04-01
AGUACATE;ALICANTE;FRUTAS EXÃTICAS;3.35;106;2018-03-01
AGUACATE;ALICANTE;FRUTAS EXÃTICAS;2.7;10272;2018-12-01
AGUACATE;ALICANTE;FRUTAS EXÃTICAS;3.0;252;2019-01-01
AGUACATE;ALICANTE;FRUTAS EXÃTICAS;3.4;266;2019-12-01
AGUACATE;ALICANTE;FRUTAS EXÃTICAS;3.2;5280;2020-02-01
AGUACATE;ALMERIA;FRUTAS EXÃTICAS;3.6;115;2018-04-01
AGUACATE;ALMERIA;FRUTAS EXÃTICAS;3.0;30;2018-05-01
AGUACATE;ALMERIA;FRUTAS EXÃTICAS;2.75;23841;2018-08-01
AGUACATE;ALMERIA;FRUTAS EXÃTICAS;2.4;977;2018-11-01
AGUACATE;ALMERIA;FRUTAS EXÃTICAS;3.0;192;2019-02-01
AGUACATE;ALMERIA;FRUTAS EXÃTICAS;3.0;176;2019-03-01
AGUACATE;ALMERIA;FRUTAS EXÃTICAS;2.0;80;2020-10-01
AGUACATE;AVILA;FRUTAS EXÃTICAS;3.625;11842;2020-11-01
AGUACATE;BALEARES;FRUTAS EXÃTICAS;3.0;256;2018-01-01
AGUACATE;BALEARES;FRUTAS EXÃTICAS;3.35;320;2018-02-01
AGUACATE;BALEARES;FRUTAS EXÃTICAS;3.45;2696;2018-03-01
AGUACATE;BALEARES;FRUTAS EXÃTICAS;3.185714286;2240;2018-04-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;3.403125;24015;2018-03-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;3.142105263;34536;2018-04-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;3.033333333;51293;2018-05-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;3.0;17992;2018-06-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;2.904166667;43869;2018-07-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;2.75;41733;2018-08-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;2.75;9916;2018-09-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;2.722727273;80765;2018-10-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;2.49375;37483;2018-11-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;2.7;10878;2018-12-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;3.0;11700;2019-01-01
AGUACATE;BARCELONA;FRUTAS EXÃTICAS;3.0;571;2019-02-01
