año;mes;ccaa;producto;volumen_miles_de_kg;valor_miles_de_€;precio_medio_kg;penetración_%;consumo_per_capita;gasto_per_capita;date;Olas;Motivo_ola
2018;01;Nacional;Esparragos;1652.94;4690.18;2.84;7.72;0.04;0.1;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Verduras de hoja;4933.06;12175.73;2.47;27.23;0.11;0.27;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Berenjenas;4383.37;7675.76;1.75;27.33;0.1;0.17;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Zanahorias;13553.18;11335.57;0.84;57.48;0.3;0.25;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Calabacines;15570.6;22163.4;1.42;52.47;0.34;0.49;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Otr hortalizas/verd ;50041.09;96616.8;1.93;82.31;1.1;2.12;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Brocoli;6535.18;8832.66;1.35;28.53;0.14;0.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Alcachofas;8463.51;15419.97;1.82;26.25;0.19;0.34;2018-01-01;Pre-covid;Pre-covid
2018;01;Nacional;Verd /hort  iv gama;23884.5;62694.01;2.62;65.1;0.52;1.37;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Patatas;22409.72;17255.05;0.77;82.96;2.58;1.99;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Patatas frescas;15651.83;10399.72;0.66;71.12;1.8;1.2;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Patatas congeladas;956.43;1142.88;1.19;16.79;0.11;0.13;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Patatas procesadas;1160.29;5712.45;4.92;51.61;0.13;0.66;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Hortalizas frescas;36232.06;61004.46;1.68;96.72;4.17;7.02;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Omates;7480.28;11031.97;1.47;79.01;0.86;1.27;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Cebollas;4717.41;4361.8;0.92;72.88;0.54;0.5;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Ajos;538.35;2140.82;3.98;40.69;0.06;0.25;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Coles;1066.82;1045.78;0.98;17.48;0.12;0.12;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Pepinos;684.99;1071.88;1.56;25.45;0.08;0.12;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Judias verdes;954.39;2086.55;2.19;32.32;0.11;0.24;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Pimientos;2714.09;4886.53;1.8;63.87;0.31;0.56;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Champiñoneso setas;908.6;3405.52;3.75;39.6;0.1;0.39;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Lechuga/esc /endivia;1939.78;5624.43;2.9;57.76;0.22;0.65;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Esparragos;276.53;645.45;2.33;7.35;0.03;0.07;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Verduras de hoja;751.1;1862.74;2.48;26.36;0.09;0.21;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Berenjenas;902.51;1462.52;1.62;30.99;0.1;0.17;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Zanahorias;2245.92;1742.42;0.78;52.51;0.26;0.2;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Calabacines;2693.93;3666.49;1.36;49.57;0.31;0.42;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Otr hortalizas/verd ;8357.34;15969.56;1.91;83.0;0.96;1.84;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Brocoli;972.91;1358.96;1.4;29.01;0.11;0.16;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Alcachofas;1064.79;1844.68;1.73;22.93;0.12;0.21;2018-01-01;Pre-covid;Pre-covid
2018;01;Andalucia;Verd /hort  iv gama;4587.51;10886.52;2.37;64.84;0.53;1.25;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Patatas;2646.29;1981.31;0.75;72.65;2.02;1.51;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Patatas frescas;2075.29;1357.56;0.65;63.55;1.58;1.03;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Patatas congeladas;60.13;72.22;1.2;9.95;0.05;0.06;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Patatas procesadas;102.17;551.53;5.4;38.73;0.08;0.42;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Hortalizas frescas;6769.46;12339.94;1.82;98.32;5.16;9.4;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Omates;1151.9;2038.5;1.77;87.79;0.88;1.55;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Cebollas;771.52;809.92;1.05;73.15;0.59;0.62;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Ajos;63.53;254.52;4.01;31.91;0.05;0.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Coles;146.69;153.98;1.05;22.15;0.11;0.12;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Pepinos;176.04;275.83;1.57;24.84;0.13;0.21;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Judias verdes;284.13;828.97;2.92;36.54;0.22;0.63;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Pimientos;432.37;819.44;1.9;55.9;0.33;0.62;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Champiñoneso setas;155.3;607.19;3.91;51.25;0.12;0.46;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Lechuga/esc /endivia;530.03;1492.61;2.82;63.68;0.4;1.14;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Esparragos;50.02;208.75;4.17;11.71;0.04;0.16;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Verduras de hoja;348.55;597.62;1.71;32.98;0.27;0.46;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Berenjenas;85.81;155.21;1.81;21.06;0.07;0.12;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Zanahorias;381.09;310.82;0.82;57.95;0.29;0.24;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Calabacines;461.16;670.5;1.45;51.23;0.35;0.51;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Otr hortalizas/verd ;1731.33;3116.06;1.8;81.51;1.32;2.37;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Brocoli;346.39;386.78;1.12;36.87;0.26;0.29;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Alcachofas;140.93;252.21;1.79;18.23;0.11;0.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Aragon;Verd /hort  iv gama;532.01;1563.43;2.94;63.62;0.41;1.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Patatas;2574.16;1997.07;0.78;76.07;2.37;1.84;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Patatas frescas;1949.01;1352.99;0.69;62.43;1.8;1.25;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Patatas congeladas;81.38;88.14;1.08;8.07;0.08;0.08;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Patatas procesadas;108.75;555.95;5.11;41.74;0.1;0.51;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Hortalizas frescas;3584.77;7172.12;2.0;97.28;3.31;6.62;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Omates;722.51;1309.88;1.81;72.83;0.67;1.21;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Cebollas;543.04;707.04;1.3;66.94;0.5;0.65;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Ajos;106.9;477.38;4.47;47.77;0.1;0.44;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Coles;125.08;148.32;1.19;18.61;0.12;0.14;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Pepinos;17.31;25.02;1.45;5.36;0.02;0.02;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Judias verdes;64.15;192.15;3.0;16.69;0.06;0.18;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Pimientos;281.42;573.99;2.04;59.03;0.26;0.53;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Champiñoneso setas;100.96;473.92;4.69;39.71;0.09;0.44;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Lechuga/esc /endivia;236.92;656.1;2.77;45.94;0.22;0.61;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Esparragos;19.72;39.82;2.02;3.72;0.02;0.04;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Verduras de hoja;45.16;200.34;4.44;18.27;0.04;0.18;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Berenjenas;80.31;163.98;2.04;15.36;0.07;0.15;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Zanahorias;221.66;214.26;0.97;50.13;0.2;0.2;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Calabacines;333.66;462.44;1.39;48.06;0.31;0.43;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Otr hortalizas/verd ;685.98;1527.47;2.23;71.29;0.63;1.41;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Brocoli;113.34;163.18;1.44;21.41;0.1;0.15;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Alcachofas;59.43;104.22;1.75;9.53;0.05;0.1;2018-01-01;Pre-covid;Pre-covid
2018;01;Asturias;Verd /hort  iv gama;437.4;1386.48;3.17;56.74;0.4;1.28;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Patatas;2612.78;2120.11;0.81;84.4;2.54;2.06;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Patatas frescas;1890.23;1403.53;0.74;75.16;1.83;1.36;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Patatas congeladas;84.77;113.89;1.34;12.65;0.08;0.11;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Patatas procesadas;127.56;602.7;4.72;44.5;0.12;0.59;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Hortalizas frescas;5149.1;9584.95;1.86;98.34;5.0;9.3;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Omates;965.86;1796.34;1.86;83.93;0.94;1.74;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Cebollas;878.0;905.23;1.03;81.61;0.85;0.88;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Ajos;42.86;198.42;4.63;28.91;0.04;0.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Coles;134.19;193.09;1.44;31.48;0.13;0.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Pepinos;112.33;208.5;1.86;18.71;0.11;0.2;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Judias verdes;154.1;458.82;2.98;44.65;0.15;0.45;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Pimientos;392.8;787.99;2.01;54.82;0.38;0.76;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Champiñoneso setas;194.17;655.11;3.37;49.26;0.19;0.64;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Lechuga/esc /endivia;279.64;819.08;2.93;63.61;0.27;0.8;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Esparragos;20.93;44.88;2.14;4.06;0.02;0.04;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Verduras de hoja;77.09;244.47;3.17;25.19;0.07;0.24;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Berenjenas;108.22;195.36;1.81;33.16;0.11;0.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Zanahorias;372.95;301.24;0.81;64.02;0.36;0.29;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Calabacines;243.9;403.12;1.65;48.07;0.24;0.39;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Otr hortalizas/verd ;1172.06;2373.3;2.02;86.79;1.14;2.3;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Brocoli;137.72;243.09;1.77;34.2;0.13;0.24;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Alcachofas;192.67;392.61;2.04;41.17;0.19;0.38;2018-01-01;Pre-covid;Pre-covid
2018;01;Baleares;Verd /hort  iv gama;934.99;2053.41;2.2;68.82;0.91;1.99;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Patatas;5413.88;4592.87;0.85;80.54;2.48;2.1;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Patatas frescas;4425.69;3669.47;0.83;66.35;2.02;1.68;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Patatas congeladas;237.55;246.81;1.04;10.56;0.11;0.11;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Patatas procesadas;150.13;676.59;4.51;36.37;0.07;0.31;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Hortalizas frescas;9826.05;18343.27;1.87;97.75;4.49;8.39;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Omates;1649.68;2692.34;1.63;80.95;0.75;1.23;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Cebollas;1325.56;1355.73;1.02;77.41;0.61;0.62;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Ajos;93.1;368.1;3.95;43.46;0.04;0.17;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Coles;205.6;275.62;1.34;24.52;0.09;0.13;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Pepinos;179.72;309.13;1.72;24.47;0.08;0.14;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Judias verdes;289.42;699.29;2.42;22.79;0.13;0.32;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Pimientos;1139.83;2075.8;1.82;78.82;0.52;0.95;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Champiñoneso setas;211.69;834.0;3.94;39.98;0.1;0.38;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Lechuga/esc /endivia;252.13;836.3;3.32;42.52;0.12;0.38;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Esparragos;27.81;84.85;3.05;3.48;0.01;0.04;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Verduras de hoja;95.91;414.51;4.32;17.55;0.04;0.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Berenjenas;94.69;198.31;2.09;17.2;0.04;0.09;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Zanahorias;768.91;775.6;1.01;71.0;0.35;0.35;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Calabacines;1309.37;1960.66;1.5;70.04;0.6;0.9;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Otr hortalizas/verd ;2182.63;5463.02;2.5;88.32;1.0;2.5;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Brocoli;87.48;204.28;2.34;12.89;0.04;0.09;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Alcachofas;4.33;16.44;3.8;0.54;0.0;0.01;2018-01-01;Pre-covid;Pre-covid
2018;01;Canarias;Verd /hort  iv gama;1511.13;3507.97;2.32;61.03;0.69;1.6;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Patatas;1105.9;761.13;0.69;74.12;1.99;1.37;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Patatas frescas;857.1;551.6;0.64;67.16;1.54;0.99;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Patatas congeladas;26.83;36.23;1.35;7.44;0.05;0.07;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Patatas procesadas;44.4;173.3;3.9;38.12;0.08;0.31;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Hortalizas frescas;2167.68;3919.77;1.81;98.0;3.89;7.04;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Omates;292.46;535.09;1.83;62.85;0.53;0.96;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Cebollas;239.27;266.87;1.12;47.8;0.43;0.48;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Ajos;33.46;148.06;4.43;22.72;0.06;0.27;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Coles;57.16;59.24;1.04;19.74;0.1;0.11;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Pepinos;43.73;71.29;1.63;20.34;0.08;0.13;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Judias verdes;55.63;177.92;3.2;16.17;0.1;0.32;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Pimientos;211.08;441.31;2.09;61.62;0.38;0.79;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Champiñoneso setas;79.3;219.97;2.77;42.77;0.14;0.4;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Lechuga/esc /endivia;116.52;311.12;2.67;60.4;0.21;0.56;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Esparragos;0.57;4.76;8.33;0.74;0.0;0.01;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Verduras de hoja;21.81;56.89;2.61;13.72;0.04;0.1;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Berenjenas;42.76;84.79;1.98;23.11;0.08;0.15;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Zanahorias;169.61;119.39;0.7;48.18;0.3;0.21;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Calabacines;159.51;253.85;1.59;41.9;0.29;0.46;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Otr hortalizas/verd ;644.81;1169.21;1.81;70.3;1.16;2.1;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Brocoli;88.3;164.7;1.87;27.7;0.16;0.3;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Alcachofas;17.3;34.18;1.98;8.05;0.03;0.06;2018-01-01;Pre-covid;Pre-covid
2018;01;Cantabria;Verd /hort  iv gama;241.26;572.1;2.37;72.49;0.43;1.03;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Patatas;4597.4;3445.59;0.75;75.59;2.19;1.64;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Patatas frescas;3210.36;2018.6;0.63;64.53;1.53;0.96;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Patatas congeladas;313.0;345.05;1.1;17.22;0.15;0.16;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Patatas procesadas;214.81;1081.95;5.04;50.65;0.1;0.52;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Hortalizas frescas;7783.55;13613.38;1.75;96.82;3.71;6.49;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Omates;1925.5;3019.56;1.57;76.16;0.92;1.44;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Cebollas;860.68;852.49;0.99;61.93;0.41;0.41;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Ajos;99.13;376.27;3.8;30.86;0.05;0.18;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Coles;181.18;173.26;0.96;14.08;0.09;0.08;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Pepinos;260.42;376.51;1.45;32.63;0.12;0.18;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Judias verdes;209.3;623.97;2.98;30.71;0.1;0.3;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Pimientos;634.8;1131.28;1.78;56.71;0.3;0.54;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Champiñoneso setas;277.74;1116.68;4.02;54.88;0.13;0.53;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Lechuga/esc /endivia;372.23;990.77;2.66;53.3;0.18;0.47;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Esparragos;118.14;280.63;2.38;11.6;0.06;0.13;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Verduras de hoja;185.97;438.88;2.36;26.96;0.09;0.21;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Berenjenas;126.39;245.37;1.94;20.14;0.06;0.12;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Zanahorias;453.73;365.0;0.8;55.61;0.22;0.17;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Calabacines;718.27;1031.37;1.44;59.59;0.34;0.49;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Otr hortalizas/verd ;1360.06;2591.36;1.91;72.78;0.65;1.24;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Brocoli;167.27;246.93;1.48;22.37;0.08;0.12;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Alcachofas;257.47;474.7;1.84;25.29;0.12;0.23;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla la mancha;Verd /hort  iv gama;869.26;2139.66;2.46;64.27;0.41;1.02;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Patatas;4092.65;2906.39;0.71;63.25;1.67;1.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Patatas frescas;3043.99;1801.08;0.59;50.77;1.24;0.74;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Patatas congeladas;127.83;161.58;1.26;8.22;0.05;0.07;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Patatas procesadas;184.16;943.73;5.12;33.07;0.08;0.39;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Hortalizas frescas;8783.29;15284.8;1.74;95.76;3.59;6.25;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Omates;1500.63;2438.2;1.62;69.58;0.61;1.0;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Cebollas;1061.73;1038.21;0.98;57.21;0.43;0.42;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Ajos;117.59;463.28;3.94;26.18;0.05;0.19;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Coles;383.01;415.04;1.08;26.19;0.16;0.17;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Pepinos;145.2;216.27;1.49;15.21;0.06;0.09;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Judias verdes;258.11;697.83;2.7;25.14;0.11;0.29;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Pimientos;776.89;1394.1;1.79;61.41;0.32;0.57;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Champiñoneso setas;260.52;857.84;3.29;34.09;0.11;0.35;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Lechuga/esc /endivia;714.31;1772.49;2.48;60.43;0.29;0.72;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Esparragos;135.32;514.25;3.8;4.61;0.06;0.21;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Verduras de hoja;159.67;421.75;2.64;20.59;0.07;0.17;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Berenjenas;147.57;258.42;1.75;19.37;0.06;0.11;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Zanahorias;766.19;552.67;0.72;53.26;0.31;0.23;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Calabacines;630.55;851.99;1.35;46.68;0.26;0.35;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Otr hortalizas/verd ;1726.0;3392.46;1.97;77.58;0.71;1.39;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Brocoli;277.2;388.95;1.4;23.42;0.11;0.16;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Alcachofas;166.21;315.34;1.9;12.21;0.07;0.13;2018-01-01;Pre-covid;Pre-covid
2018;01;Castilla leon;Verd /hort  iv gama;1118.68;3058.33;2.73;60.43;0.46;1.25;2018-01-01;Pre-covid;Pre-covid
2018;01;Cataluña;Patatas;19590.65;16083.99;0.82;86.85;2.83;2.32;2018-01-01;Pre-covid;Pre-covid
2018;01;Cataluña;Patatas frescas;14309.07;10328.3;0.72;79.47;2.07;1.49;2018-01-01;Pre-covid;Pre-covid
2018;01;Cataluña;Patatas congeladas;616.32;812.53;1.32;11.86;0.09;0.12;2018-01-01;Pre-covid;Pre-covid
2018;01;Cataluña;Patatas procesadas;933.05;4943.15;5.3;54.72;0.13;0.71;2018-01-01;Pre-covid;Pre-covid
2018;01;Cataluña;Hortalizas frescas;41332.1;78534.67;1.9;98.35;5.97;11.35;2018-01-01;Pre-covid;Pre-covid
2018;01;Cataluña;Omates;7779.26;15094.81;1.94;84.07;1.12;2.18;2018-01-01;Pre-covid;Pre-covid
2018;01;Cataluña;Cebollas;5204.71;5713.65;1.1;78.89;0.75;0.83;2018-01-01;Pre-covid;Pre-covid
2018;01;Cataluña;Ajos;403.37;1737.14;4.31;34.17;0.06;0.25;2018-01-01;Pre-covid;Pre-covid
