,inicio,fin,sector,subsector,producto,tipo,precio_euro_kg
86,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,0.95
87,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,0.77
88,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,1.04
89,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.74
90,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.29
91,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.79
92,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,1.07
93,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.34
94,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,1.2
95,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.72
96,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.37
97,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.79
100,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Snack,1.88
101,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Pimiento,Snack,0.3
104,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,0.69
105,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,0.32
106,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,0.54
107,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.73
108,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.3
109,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.66
110,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.55
111,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.46
112,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.53
115,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.5
116,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.24
117,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.53
118,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.75
119,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.52
120,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.8
121,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.34
122,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.14
123,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.43
124,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,0.58
125,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.23
126,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,0.33
127,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.86
128,2018-01-01,2018-07-01,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.13
129,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Berenjena_Eco,Larga (Eco),0.83
130,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Calabacin_Eco,Verde (Eco),1.08
131,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pepino_Eco,Tipo Holandés O Almería (Eco),1.13
132,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,California (Eco),1.45
133,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,California (Eco),1.37
134,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,California (Eco),1.14
135,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,Dulce Cónico (Eco),1.54
136,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,Dulce Cónico (Eco),1.42
137,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Pera (Eco),0.72
138,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Rama (Eco),0.88
139,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Redondo (Eco),0.62
140,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Tipo Cherry (Eco),1.6
141,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Tipo Cherry (Eco),1.86
142,2018-01-01,2018-07-01,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Tipo Cherry (Eco),1.29
147,2018-08-01,2018-01-14,Frutales,Frutales de cáscara,Almendra,Pepita,4.54
148,2018-08-01,2018-01-14,Frutales,Frutales de cáscara,Almendra,Pepita,5.13
176,2018-08-01,2018-01-14,Hortalizas,Hortícolas al aire libre,Zanahoria,Nantesa,0.34
178,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Berenjena,Larga,0.66
179,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Berenjena,Larga,0.32
180,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Berenjena,Larga,0.69
182,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,0.86
183,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,0.46
184,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,0.94
188,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.81
189,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.34
190,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.87
194,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,2.55
195,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,0.89
196,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,2.89
197,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,3.61
198,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,0.88
199,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,4.08
202,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,0.71
203,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,0.53
204,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,0.81
205,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.62
206,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.23
207,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.68
208,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.53
209,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.41
210,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.59
214,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,1.44
215,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.51
216,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,1.5
217,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,1.48
218,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.42
219,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.9
220,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.42
221,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.9
222,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,1.18
223,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.32
224,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.34
225,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.69
226,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.3
227,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,California,0.65
228,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Dulce Cónico,1.1
229,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Dulce Cónico,0.26
230,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,0.85
231,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,0.69
232,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,0.94
233,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.73
234,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.32
235,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.78
236,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.88
237,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.17
238,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.95
239,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.65
240,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.3
241,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.7
244,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Snack,1.98
245,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Pimiento,Snack,0.35
248,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,0.87
249,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,0.48
250,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,0.74
251,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.62
252,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.28
253,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.6
254,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.62
255,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.59
256,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.66
259,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.49
260,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.27
261,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.44
262,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.74
263,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.49
264,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.8
265,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.28
266,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.12
267,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.37
268,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,0.57
269,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.11
270,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.8
271,2018-08-01,2018-01-14,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.02
272,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Berenjena_Eco,Larga (Eco),0.88
273,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Calabacin_Eco,Verde (Eco),1.16
274,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pepino_Eco,Tipo Holandés O Almería (Eco),1.16
275,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,California (Eco),1.45
276,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,California (Eco),1.35
277,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,California (Eco),0.97
278,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,Dulce Cónico (Eco),1.49
279,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pimiento_Eco,Dulce Cónico (Eco),1.51
280,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Pera (Eco),0.64
281,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Rama (Eco),0.82
282,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Redondo (Eco),0.58
283,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Tipo Cherry (Eco),1.58
284,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Tipo Cherry (Eco),1.79
285,2018-08-01,2018-01-14,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Tomate_Eco,Tipo Cherry (Eco),1.22
290,2018-01-15,2018-01-21,Frutales,Frutales de cáscara,Almendra,Pepita,4.54
291,2018-01-15,2018-01-21,Frutales,Frutales de cáscara,Almendra,Pepita,5.3
320,2018-01-15,2018-01-21,Hortalizas,Hortícolas al aire libre,Zanahoria,Nantesa,0.33
322,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Berenjena,Larga,1.0
323,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Berenjena,Larga,0.46
324,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Berenjena,Larga,1.08
326,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,1.1
327,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,0.7
328,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Berenjena,Rayada,1.19
332,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.88
333,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.42
334,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Calabacin,Verde,0.92
338,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,3.09
339,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,1.26
340,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Judia_Verde,Plana,3.45
341,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,3.34
342,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,1.4
343,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Judia_Verde,Redonda,3.77
346,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,0.91
347,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,0.7
348,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Corto O Tipo Español,1.05
349,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.85
350,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.29
351,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Largo Tipo Holandés O Almería,0.9
352,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.76
353,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.51
354,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pepino,Medio Largo O Tipo Francés,0.85
358,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,1.28
359,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.44
360,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,1.39
361,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,1.4
362,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.55
363,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.83
364,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.39
365,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.81
366,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,1.06
367,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.31
368,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.31
369,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.6
370,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.24
371,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,California,0.54
372,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Dulce Cónico,1.13
373,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Dulce Cónico,0.25
374,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,0.84
375,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,0.67
376,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Italiano,0.91
377,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.7
378,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.31
379,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.74
380,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.88
381,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.4
382,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.98
383,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.57
384,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.24
385,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Lamuyo,0.6
388,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Snack,2.02
389,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Pimiento,Snack,0.32
392,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,1.19
393,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,0.59
394,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Asurcado ,0.96
395,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.48
396,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.23
397,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Larga Vida,0.46
398,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.54
399,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.54
400,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Liso,0.61
403,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.52
404,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.26
405,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Pera,0.42
406,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.66
407,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.41
408,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Rama,0.7
409,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.36
410,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.08
411,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.3
412,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,0.67
413,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.14
414,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,0.29
415,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.81
416,2018-01-15,2018-01-21,Hortalizas,Hortícolas protegidos,Tomate,Tipo Cherry,1.0
417,2018-01-15,2018-01-21,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Berenjena_Eco,Larga (Eco),1.03
418,2018-01-15,2018-01-21,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Calabacin_Eco,Verde (Eco),1.34
419,2018-01-15,2018-01-21,Hortalizas ecológicas,Hortícolas protegidos ecológicos,Pepino_Eco,Tipo Holandés O Almería (Eco),1.32
